OPERAT.,HORA,FRC-74 ,FRC-73 ,FRC-69 ,FRC-106 ,FRC-109 ,LCO A DIES. ,FR-110 ,FRC-115 ,FRC-81 ,FRC-82 ,FRC-83 ,FT-728 ,FR-77 ,FI-99 ,FI-101 ,FR-137 ,FR-136 
01/12/2015,01:00,0,0,"2,149",0,"1,777",0,"11,203","7,765","10,000","6,350","14,450",90,"32,500",400,800,0,0
01/12/2015,05:00,0,0,"2,180",0,"1,777",0,"11,359","7,129","10,000","6,350","14,450",90,"33,500",400,800,0,0
01/12/2015,09:00,0,0,"2,212",0,"1,546",0,"11,670","6,365","11,000","7,239","14,450",85,"34,000",400,800,0,0
01/12/2015,13:00,0,0,"2,212",0,"1,546",0,"11,670","6,365","11,000","7,239","14,450",85,"34,000",400,800,0,0
01/12/2015,17:00,0,0,"2,117",0,"1,546",0,"11,670","5,819","11,800","7,366","13,600",95,"34,000",400,800,0,0
01/12/2015,21:00,0,0,"2,117",0,"2,009",0,"12,292","6,982","11,800","7,366","13,600",95,"36,000",400,800,0,0
02/12/2015,01:00,0,0,"2,464",0,"2,009",0,"12,215","7,129","11,800","6,985","15,130",90,"35,500",400,800,0,0
02/12/2015,05:00,0,0,"2,465",0,"2,009",0,"11,981","7,383","11,800","7,239","15,640",90,"35,000",400,800,0,0
