OPERAT.,HORA,FRC-69 ,FRC-109 ,FR-110 ,FRC-115 ,FRC-81 ,FRC-82 ,FRC-83 ,FT-728 ,FR-77 ,FI-99 ,FI-101 
01/12/2015,01:00,2149,1777,11203,7765,10000,6350,14450,90,32500,400,800
01/12/2015,05:00,2180,1777,11359,7129,10000,6350,14450,90,33500,400,800
01/12/2015,09:00,2212,1546,11670,6365,11000,7239,14450,85,34000,400,800
01/12/2015,13:00,2212,1546,11670,6365,11000,7239,14450,85,34000,400,800
01/12/2015,17:00,2117,1546,11670,5819,11800,7366,13600,95,34000,400,800
01/12/2015,21:00,2117,2009,12292,6982,11800,7366,13600,95,36000,400,800
02/12/2015,01:00,2464,2009,12215,7129,11800,6985,15130,90,35500,400,800
02/12/2015,05:00,2465,2009,11981,7383,11800,7239,15640,90,35000,400,800
